title,author,raw_isbn_in_csv,cleaned_isbn_attempt,skip_reason
A King of Shadow,Bella Forrest (Goodreads Author),'B01M741K42,0174142,Invalid Length (not 10 or 13 after cleaning)
Glitches,Marissa Meyer (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Michael Morpurgo Collection,Michael Morpurgo,,,Invalid Length (not 10 or 13 after cleaning)
Wherever It Leads,Adriana Locke (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Forever Violet,Jessica Sorensen (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
The Librarian,Belle Winters (Goodreads Author),'B0784GMG3P,07843,Invalid Length (not 10 or 13 after cleaning)
Lila and Ethan: Forever and Always,Jessica Sorensen (Goodreads Author),'B00GG0H4PW,0004,Invalid Length (not 10 or 13 after cleaning)
God is Speaking are you Listening?,Lola Love,'B073VY3X8D,07338,Invalid Length (not 10 or 13 after cleaning)
Girl Against the Universe,Paula Stokes (Goodreads Author),'B014DUHP5U,0145,Invalid Length (not 10 or 13 after cleaning)
Lure of Oblivion,Suzanne Wright (Goodreads Author),'B0728KYT76,072876,Invalid Length (not 10 or 13 after cleaning)
Guts,Raina Telgemeier (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Polished,Alyssa Turner (Goodreads Author),'B07DLDG3KV,073,Invalid Length (not 10 or 13 after cleaning)
Has Man a Future?,Bertrand Russell,,,Invalid Length (not 10 or 13 after cleaning)
Hard Mated,Jennifer Ashley (Goodreads Author),'B008ZXE8N4,00884,Invalid Length (not 10 or 13 after cleaning)
The Mage Winds,Mercedes Lackey,'B00SQLLFPE,00,Invalid Length (not 10 or 13 after cleaning)
Hot Item,Carly Phillips (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
"Lee's Lieutenants: A Study In Command, Volume III: Gettysburg to Appomattox",Douglas Southall Freeman,,,Invalid Length (not 10 or 13 after cleaning)
New Beginnings,"Crystal Linn (Goodreads Author), Roger Rheinheimer (Goodreads Author)",'B00CLZR1T0,0010,Invalid Length (not 10 or 13 after cleaning)
A Tangle of Hearts,Bella Forrest (Goodreads Author),'B06Y357YY8,063578,Invalid Length (not 10 or 13 after cleaning)
Lucky Number Eleven,Adriana Locke (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Good Intentions,Brenda K. Davies (Goodreads Author),'B01EEROA2I,012,Invalid Length (not 10 or 13 after cleaning)
When Friendship Followed Me Home,Paul Griffin (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Force of Temptation,Suzanne Wright (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Her Blind Master (Blind Series Book 1),Lucian Bane (Goodreads Author),'B07JM3KTPB,073,Invalid Length (not 10 or 13 after cleaning)
Into the Lion's Den,Linda Fairstein (Goodreads Author),'B01BK0WT66,01066,Invalid Length (not 10 or 13 after cleaning)
Tristan: With the Tristran of Thomas,"Gottfried von Straßburg, Thomas of Brittany, A.T. Hatto (Translator)",,,Invalid Length (not 10 or 13 after cleaning)
Heart of Change,Roxy Harte (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Bound in Sin,Cynthia Eden (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Τα Ποιήματα 1897-1933,"Constantinos P. Cavafy, Κ.Π. Καβάφης",,,Invalid Length (not 10 or 13 after cleaning)
Don't Become Angry,Darussalam,'B00EUC8IM6,0086,Invalid Length (not 10 or 13 after cleaning)
Осенние визиты,"Sergei Lukyanenko, Sergei Lukyanenko",,,Invalid Length (not 10 or 13 after cleaning)
Lee's Lieutenants: A Study In Command,Douglas Southall Freeman,,,Invalid Length (not 10 or 13 after cleaning)
Valentine Blunders,"Crystal Linn (Goodreads Author), Roger Rheinheimer (Goodreads Author)",'B00BNFHXL0,000,Invalid Length (not 10 or 13 after cleaning)
Red Moon Secrets,C.M. Owens (Goodreads Author),'B00L2FQEVG,002,Invalid Length (not 10 or 13 after cleaning)
Das Geheimnis des Feuers,Pia Hepke,'B00JDP41M6,00416,Invalid Length (not 10 or 13 after cleaning)
Wisdom From My Internet,Michael Z. Williamson,'B00QZV08SW,0008,Invalid Length (not 10 or 13 after cleaning)
Kage Unleashed,Maris Black (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
A Race of Trials,Bella Forrest (Goodreads Author),'B01M1L9AF8,01198,Invalid Length (not 10 or 13 after cleaning)
Three Trials,Kristy Cunning,'B077X6ZFN7,07767,Invalid Length (not 10 or 13 after cleaning)
Gegen das Glück hat das Schicksal keine Chance,Estelle Laure (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Map to the Stars,Jen Malone (Goodreads Author),'B00PFXLEU2,002,Invalid Length (not 10 or 13 after cleaning)
The Someday Birds,Sally J. Pla (Goodreads Author),'B01F1WX5LW,0115,Invalid Length (not 10 or 13 after cleaning)
Spiral of Need,Suzanne Wright (Goodreads Author),'B00X3N0NDU,0030,Invalid Length (not 10 or 13 after cleaning)
Edens Guardians (Terratellus Trilogy #2),Sandy Johnson (Goodreads Author),'B07DH3TS6Y,0736,Invalid Length (not 10 or 13 after cleaning)
Reparation: A Spiritual Journey,Maria Hall (Goodreads Author),'B0157GSUPS,0157,Invalid Length (not 10 or 13 after cleaning)
Ruin The Turning,Lucian Bane (Goodreads Author),'B07BZ21DMD,0721,Invalid Length (not 10 or 13 after cleaning)
The Great Treehouse War,Lisa Graff,,,Invalid Length (not 10 or 13 after cleaning)
"Sir Gawain and the Green Knight, Pearl, and Sir Orfeo","Unknown, J.R.R. Tolkien (Translator), Christopher Tolkien (Editor)",,,Invalid Length (not 10 or 13 after cleaning)
Rizq And Lawful Earnings,Darussalam,'B00EUF29O6,00296,Invalid Length (not 10 or 13 after cleaning)
The Semplica-Girl Diaries (short story),"George Saunders, Martin Ansin (Illustrator)",,,Invalid Length (not 10 or 13 after cleaning)
Poison's Kiss,C.M. Owens (Goodreads Author),'B00JCA3F88,00388,Invalid Length (not 10 or 13 after cleaning)
Just Another Sucker,James Hadley Chase,,,Invalid Length (not 10 or 13 after cleaning)
For a New Liberty: The Libertarian Manifesto,Murray N. Rothbard,,,Invalid Length (not 10 or 13 after cleaning)
Short and Tall,"Ellie B. Morris, Kate Milner (Goodreads Author)",'B007SHM34O,00734,Invalid Length (not 10 or 13 after cleaning)
Sweet Destruction,Paige Weaver (Goodreads Author),'B00J5O4AK8,00548,Invalid Length (not 10 or 13 after cleaning)
Lawless,"T.M. Frazier (Goodreads Author), Sylvie Del Cotto (Translator)",,,Invalid Length (not 10 or 13 after cleaning)
The Purchase of the North Pole,Jules Verne,,,Invalid Length (not 10 or 13 after cleaning)
Kage,Maris Black (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
A Sword of Chance,Bella Forrest (Goodreads Author),'B01LSZTW7M,017,Invalid Length (not 10 or 13 after cleaning)
Written in the Scars,Adriana Locke (Goodreads Author),'B01M5DL5IJ,0155,Invalid Length (not 10 or 13 after cleaning)
Four Psychos,Kristy Cunning,'B0777KNG89,077789,Invalid Length (not 10 or 13 after cleaning)
Mission: Her Safety,Anna Hackett (Goodreads Author),'B07RXQ2B72,07272,Invalid Length (not 10 or 13 after cleaning)
Eden's Children,Sandy Johnson (Goodreads Author),'B07D616QBZ,07616,Invalid Length (not 10 or 13 after cleaning)
Sadistic Games 5&6,Lucian Bane (Goodreads Author),'B07MLXMKL1,071,Invalid Length (not 10 or 13 after cleaning)
The Delirium Brief,Charles Stross (Goodreads Author),'B01LM09RDM,0109,Invalid Length (not 10 or 13 after cleaning)
Someone to Watch Over Me,Lisa Kleypas (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Lucas,D.B. Reynolds (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Perfectly Damaged,E.L. Montes (Goodreads Author),'B00K8H6C34,008634,Invalid Length (not 10 or 13 after cleaning)
Nerd Girl,Sue Lee (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Whispered Music,Rachel Van Dyken (Goodreads Author),'B0095MV88C,009588,Invalid Length (not 10 or 13 after cleaning)
Vanished,T.K. Leigh (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Wild Reckless,Ginger Scott (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
New Blood,Karly Kirkpatrick (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Harry Styles and the New York Apocalypse,G.B. Hope (Goodreads Author),'B00ZWZTQP8,008,Invalid Length (not 10 or 13 after cleaning)
The Evil That Men Do,Hugh Pentecost,'B0000CN8GG,00008,Invalid Length (not 10 or 13 after cleaning)
Magic Bleeds - Awake,"Gordon Andrews, Ilona Andrews (Goodreads Author)",'B0051VHMGI,0051,Invalid Length (not 10 or 13 after cleaning)
No Turning Back,"Tiffany Snow (Goodreads Author), Angela Dawe (Narrator)",'B00EF5FIG2,0052,Invalid Length (not 10 or 13 after cleaning)
Gabriel's Mate,Tina Folsom (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
My Fairly Dangerous Godmother,Janette Rallison (Goodreads Author),'B00VRDHFSO,00,Invalid Length (not 10 or 13 after cleaning)
The Lion and the Crow,Eli Easton (Goodreads Author),'B00S8U0TT6,00806,Invalid Length (not 10 or 13 after cleaning)
A Game of Risk,Bella Forrest (Goodreads Author),'B01H7MVOMG,017,Invalid Length (not 10 or 13 after cleaning)
Sugar,Mandi Beck (Goodreads Author),'B075FRX67X,07567,Invalid Length (not 10 or 13 after cleaning)
The Mindful Betrayal,Aarica Dee Koliyah,,,Invalid Length (not 10 or 13 after cleaning)
Act of Mercy,Mandy M. Roth (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Ruined,Lucian Bane (Goodreads Author),'B07D9LDL7C,0797,Invalid Length (not 10 or 13 after cleaning)
Torchwood: The House of the Dead,"James Goss, John Barrowman (Goodreads Author) (Narrator), Eve Myles (Narrator), Gareth David-Lloyd (Narrator)",,,Invalid Length (not 10 or 13 after cleaning)
No Longer at Ease,Chinua Achebe,,,Invalid Length (not 10 or 13 after cleaning)
Song of the Fireflies,J.A. Redmerski (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Upon a Midnight Dream,Rachel Van Dyken (Goodreads Author),'B0086XN6A4,008664,Invalid Length (not 10 or 13 after cleaning)
After the Fall,Kate Hart (Goodreads Author),'B01HW6UKTK,016,Invalid Length (not 10 or 13 after cleaning)
Angel Kin,Tricia Skinner,'B00JI09FIG,0009,Invalid Length (not 10 or 13 after cleaning)
Switched,Cassie Mae (Goodreads Author),'B00DTELN9G,009,Invalid Length (not 10 or 13 after cleaning)
Messenger,Stephen Arseneault (Goodreads Author),'B00DSD8ZDK,008,Invalid Length (not 10 or 13 after cleaning)
Thanksgiving Surprises,"Roger Rheinheimer (Goodreads Author), Crystal Linn (Goodreads Author)",'B00H4GZ954,004954,Invalid Length (not 10 or 13 after cleaning)
Vampire in Denial,Dale Mayer (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Soulless,"T.M. Frazier (Goodreads Author), Sylvie Del Cotto (Translator)",,,Invalid Length (not 10 or 13 after cleaning)
Unruly Magic,Camilla Chafer (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
The Blue Geranium: A Short Story,Agatha Christie,'B00C9AO94M,00994,Invalid Length (not 10 or 13 after cleaning)
A Dawn of Guardians,Bella Forrest (Goodreads Author),'B01KMRM98G,0198,Invalid Length (not 10 or 13 after cleaning)
Twisted,Mandi Beck (Goodreads Author),'B072QB45L6,072456,Invalid Length (not 10 or 13 after cleaning)
Tactical Magik,Mandy M. Roth (Goodreads Author),'B00HNYRHSE,00,Invalid Length (not 10 or 13 after cleaning)
Sadistic Games 7 & 8,Lucian Bane (Goodreads Author),'B07PDRM8PK,078,Invalid Length (not 10 or 13 after cleaning)
Blood Truth,J.R. Ward (Goodreads Author),'B07NLHS3RK,073,Invalid Length (not 10 or 13 after cleaning)
A Taste of Midnight,Lara Adrian (Goodreads Author),'B00640YZ1U,006401,Invalid Length (not 10 or 13 after cleaning)
Half Share,Nathan Lowell (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
The Clue of the Velvet Mask,Carolyn Keene,,,Invalid Length (not 10 or 13 after cleaning)
Plebs,Jim Goforth (Goodreads Author),'B00HXKDSQS,00,Invalid Length (not 10 or 13 after cleaning)
Anybody's Daughter,Pamela Samuels Young (Goodreads Author),'B00GC7UI8E,0078,Invalid Length (not 10 or 13 after cleaning)
Leave Me Breathless,Cherrie Lynn (Goodreads Author),'B008Z436F4,0084364,Invalid Length (not 10 or 13 after cleaning)
Dearest Clementine,Lex Martin (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Never Ever,Sara Saedi (Goodreads Author),'B0167WQU8K,01678,Invalid Length (not 10 or 13 after cleaning)
Kaleb,Nicole Edwards (Goodreads Author),'B00IWTWAMM,00,Invalid Length (not 10 or 13 after cleaning)
Ava's Surprise,"Roger Rheinheimer (Goodreads Author), Crystal Linn (Goodreads Author)",'B00I0HTO8Y,0008,Invalid Length (not 10 or 13 after cleaning)
بغلة العرش,خيري شلبي,,,Invalid Length (not 10 or 13 after cleaning)
An Hour of Need,Bella Forrest (Goodreads Author),'B01G4KWR1O,0141,Invalid Length (not 10 or 13 after cleaning)
Stoned,Mandi Beck (Goodreads Author),'B01IBZFPEQ,01,Invalid Length (not 10 or 13 after cleaning)
My Dad is a Loser,Jim Smith (Goodreads Author),'B00871VY5Y,008715,Invalid Length (not 10 or 13 after cleaning)
Administrative Control,Mandy M. Roth (Goodreads Author),'B00JZWDCCC,00,Invalid Length (not 10 or 13 after cleaning)
Amaury's Hellion,Tina Folsom (Goodreads Author),'B003UNLBT8,0038,Invalid Length (not 10 or 13 after cleaning)
The Secret Zoo: The Final Fight,Bryan Chick (Goodreads Author),'B06Y1CD6P2,06162,Invalid Length (not 10 or 13 after cleaning)
Full Share,Nathan Lowell (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Description of Paradise in the Glorious Qur'an,"Abdul Halim Ibn Muhammad Nassae As-Salafi, Darussalam",'B00D2Z3FXE,0023,Invalid Length (not 10 or 13 after cleaning)
Honor and Obey,Teresa Mummert (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Amish Friendship Bread (Amish Grace: An Amish of Lancaster County Saga),"Ruth Price, Rachel Stoltzfus (Introduction)",'B00IAZCNXY,00,Invalid Length (not 10 or 13 after cleaning)
Immortal Dreams,"C.M. Owens (Goodreads Author), Chrissy Peebles",'B00JOJ8UI2,0082,Invalid Length (not 10 or 13 after cleaning)
Shadows,Cheree Alsop (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
DSM,"M.J. Winn (Goodreads Author), Michael Winn",,,Invalid Length (not 10 or 13 after cleaning)
One Long Embrace,Tina Folsom (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Magic Rising,Camilla Chafer (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
A Spell of Time,Bella Forrest (Goodreads Author),'B00SDNAMYK,00,Invalid Length (not 10 or 13 after cleaning)
The Devil's Fool,Rachel McClellan (Goodreads Author),'B00VTY1WNA,001,Invalid Length (not 10 or 13 after cleaning)
Rebellion,Kass Morgan (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Act of Surrender,Mandy M. Roth (Goodreads Author),'B00KFMRU5Q,005,Invalid Length (not 10 or 13 after cleaning)
Judgment Road,Christine Feehan (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
A Reginald Bones Xmas: Bones Brothers 2,Lucian Bane (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Where Winter Finds You,J.R. Ward (Goodreads Author),'B07QCQG4S4,0744,Invalid Length (not 10 or 13 after cleaning)
The Boys of Summer,Roger Kahn,,,Invalid Length (not 10 or 13 after cleaning)
September Roses,"André Maurois, Gerard Hopkins (Translator)",,,Invalid Length (not 10 or 13 after cleaning)
"Selected Poems, 1923-1958",E.E. Cummings,,,Invalid Length (not 10 or 13 after cleaning)
Ruth's Dilemma,June Bryan Belfie (Goodreads Author),'B00BB3KGEU,003,Invalid Length (not 10 or 13 after cleaning)
Dementia,Jaid Black,,,Invalid Length (not 10 or 13 after cleaning)
Until Alex,J. Nathan (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Arcane Magic,Camilla Chafer (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
A Chase of Prey,Bella Forrest (Goodreads Author),'B00TOWSVS8,008,Invalid Length (not 10 or 13 after cleaning)
The Devil's Angel,Rachel McClellan (Goodreads Author),'B00XKCY2OA,002,Invalid Length (not 10 or 13 after cleaning)
If It Weren't For You: Do You Have What It Takes To Forgive?,"Dorothea Neamonitos (Goodreads Author), Vassia Sarri (Illustrator), Christina Boys (Editor)",,,Invalid Length (not 10 or 13 after cleaning)
Broken Communication,Mandy M. Roth (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
The Cobalt Prince,"Mark Siegel (Goodreads Author), Alexis Siegel, Xanthe Bouma (Illustrator), Matt Rockefeller (Illustrator), Boya Sun (Illustrator)",,,Invalid Length (not 10 or 13 after cleaning)
The Jackal,J.R. Ward (Goodreads Author),'B081B9FNQC,0819,Invalid Length (not 10 or 13 after cleaning)
Payment in Blood,Elizabeth George (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
The Book of Lost Souls,Michelle Muto (Goodreads Author),'B004QWZ8LO,0048,Invalid Length (not 10 or 13 after cleaning)
GHOSTED,Laura Sue Gardner (Goodreads Author),'B0083WGY8Y,00838,Invalid Length (not 10 or 13 after cleaning)
Angels' Pawn,Nalini Singh (Goodreads Author),'B001TJ1O4W,00114,Invalid Length (not 10 or 13 after cleaning)
The Always War,Margaret Peterson Haddix,,,Invalid Length (not 10 or 13 after cleaning)
Day of the Giants,Lester del Rey,,,Invalid Length (not 10 or 13 after cleaning)
The Spider Sapphire Mystery,Carolyn Keene,,,Invalid Length (not 10 or 13 after cleaning)
The Seduction of Sebastian St. James,Rachel Van Dyken (Goodreads Author),'B006PHASZE,006,Invalid Length (not 10 or 13 after cleaning)
The Emotion Thesaurus: A Writer's Guide to Character Expression,"Angela Ackerman (Goodreads Author), Becca Puglisi (Goodreads Author)",'B00822WM2M,008222,Invalid Length (not 10 or 13 after cleaning)
Emma's Choice,June Bryan Belfie (Goodreads Author),'B00BOQITCU,00,Invalid Length (not 10 or 13 after cleaning)
Skin,D.M. Samson (Goodreads Author),'B0092DG7BC,00927,Invalid Length (not 10 or 13 after cleaning)
Endless Magic,Camilla Chafer (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
He Who Dares,Derek 'Del Boy' Trotter,'B00YPF8ZGC,008,Invalid Length (not 10 or 13 after cleaning)
A Turn of Tides,Bella Forrest (Goodreads Author),'B00VZ9LDH4,0094,Invalid Length (not 10 or 13 after cleaning)
Shadowed,Dani Pettrey (Goodreads Author),'B01M0G4CLX,0104,Invalid Length (not 10 or 13 after cleaning)
The World We Live In A Poetry Book On Societal Issues Part 2,Jamell Crouthers,,,Invalid Length (not 10 or 13 after cleaning)
Act of Submission,Mandy M. Roth (Goodreads Author),'B00VRSEREO,00,Invalid Length (not 10 or 13 after cleaning)
Sadistic Games Book 11 & 12: Sadistic Games,Lucian Bane (Goodreads Author),'B07S6S4L68,076468,Invalid Length (not 10 or 13 after cleaning)
The Five: The Untold Lives of the Women Killed by Jack the Ripper,Hallie Rubenhold (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
The Reckoning,Michelle Leighton (Goodreads Author),'B0061G3JJQ,00613,Invalid Length (not 10 or 13 after cleaning)
Love Me If You Dare,"Kate Laurens, Lauren Hawkeye (Goodreads Author)",,,Invalid Length (not 10 or 13 after cleaning)
Story Of Cole Younger: Being an Autobiography of the Missouri Guerrilla C (Borealis Books),"Cole Younger, Marley Brant (Goodreads Author)",'B002MGW0X0,00200,Invalid Length (not 10 or 13 after cleaning)
Silver,Cheree Alsop (Goodreads Author),'B006N52WVQ,00652,Invalid Length (not 10 or 13 after cleaning)
Enslaved by the Ocean,Bella Jewel,,,Invalid Length (not 10 or 13 after cleaning)
Virgin Widow,Anne O'Brien (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Witch's Bell 1,Odette C. Bell,,,Invalid Length (not 10 or 13 after cleaning)
A Dawn of Strength,Bella Forrest (Goodreads Author),'B00X7WTOSM,007,Invalid Length (not 10 or 13 after cleaning)
The Cassandra Sanction,Scott Mariani (Goodreads Author),'B012T976YW,012976,Invalid Length (not 10 or 13 after cleaning)
Fairy Tales Every Child Should Know,Hamilton Wright Mabie,'B0083ZL5EY,00835,Invalid Length (not 10 or 13 after cleaning)
Cuentos de angustias y paisajes,Carlos Salazar Herrera,,,Invalid Length (not 10 or 13 after cleaning)
Act of Command,Mandy M. Roth (Goodreads Author),'B017Y87K3U,017873,Invalid Length (not 10 or 13 after cleaning)
The Queen,Lucian Bane (Goodreads Author),'B07RZVFDWG,07,Invalid Length (not 10 or 13 after cleaning)
"The Splendid and the Vile: A Saga of Churchill, Family, and Defiance During the Blitz",Erik Larson (Goodreads Author),'B07TRVW6VX,076,Invalid Length (not 10 or 13 after cleaning)
The Reaping of Norah Bentley,Eva Truesdale (Goodreads Author),'B0055LI0G0,005500,Invalid Length (not 10 or 13 after cleaning)
Broken Visions,Jessica Sorensen (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
The Last True Love Story,Brendan Kiely (Goodreads Author),'B01BKR487M,01487,Invalid Length (not 10 or 13 after cleaning)
Waiting for Belinda,June Bryan Belfie (Goodreads Author),'B00FF85X86,008586,Invalid Length (not 10 or 13 after cleaning)
A Dark Kiss of Rapture,Sylvia Day (Goodreads Author),'B005TLKZR8,0058,Invalid Length (not 10 or 13 after cleaning)
Witch's Bell 2,Odette C. Bell,,,Invalid Length (not 10 or 13 after cleaning)
Stealing Christmas,Alexa Riley (Goodreads Author),'B01MSSJ5TC,015,Invalid Length (not 10 or 13 after cleaning)
A Fall of Secrets,Bella Forrest (Goodreads Author),'B00YUY3YNC,003,Invalid Length (not 10 or 13 after cleaning)
A Handful of Sunshine,Vikram Bhatt,'B0727RZRYN,0727,Invalid Length (not 10 or 13 after cleaning)
Damage Report,Mandy M. Roth (Goodreads Author),'B00XYR9IE0,0090,Invalid Length (not 10 or 13 after cleaning)
Stopping Time,Melissa Marr (Goodreads Author),'B003E6M6Z4,003664,Invalid Length (not 10 or 13 after cleaning)
Fire with Fire,Penelope King,'B006284PBO,006284,Invalid Length (not 10 or 13 after cleaning)
"Unleash Me, Vol. 1",Christina Ross (Goodreads Author),'B00IDHIGBM,00,Invalid Length (not 10 or 13 after cleaning)
The Forgotten Ones,Laura Howard (Goodreads Author),'B00CKXODRG,00,Invalid Length (not 10 or 13 after cleaning)
The Diary of Bink Cummings: Vol 2,Bink Cummings (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Witch's Bell 3,Odette C. Bell,,,Invalid Length (not 10 or 13 after cleaning)
Ghost Riders,Alexa Riley (Goodreads Author),'B01MXOUGPC,01,Invalid Length (not 10 or 13 after cleaning)
An End of Night,Bella Forrest (Goodreads Author),'B0108T2MEY,01082,Invalid Length (not 10 or 13 after cleaning)
Tongue Twisters for Kids,Riley Weber,'B008YYLYVS,008,Invalid Length (not 10 or 13 after cleaning)
The Girl I Love,Amit Nangia (Goodreads Author),'B07BLKWB96,0796,Invalid Length (not 10 or 13 after cleaning)
The Dragon Shifter’s Duty,Mandy M. Roth (Goodreads Author),'B01J5CH344,015344,Invalid Length (not 10 or 13 after cleaning)
Sadistic Games Book 9&10,Lucian Bane (Goodreads Author),'B07S61RRNH,0761,Invalid Length (not 10 or 13 after cleaning)
The Borrowers Afield,"Mary Norton, Beth Krush (Illustrator), Joe Krush (Illustrator)",,,Invalid Length (not 10 or 13 after cleaning)
Ravenwood,Nathan Lowell (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
The Last Stormdancer,Jay Kristoff (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Real Life Lesson From Quran,"Muhammad Bilal Lakhani, Darussalam",'B00DMFMM7Y,007,Invalid Length (not 10 or 13 after cleaning)
Fearless,Rachel Van Dyken (Goodreads Author),'B00ICQX196,00196,Invalid Length (not 10 or 13 after cleaning)
An Unforgivable Secret,Jennifer Spredemann (Goodreads Author),'B00D9YO0KA,0090,Invalid Length (not 10 or 13 after cleaning)
A Quest of Heroes,Morgan Rice (Goodreads Author),'B00AFROVQC,00,Invalid Length (not 10 or 13 after cleaning)
Gabriel's Inferno Trilogy,Sylvain Reynard (Goodreads Author),'B00HDMS0Z0,0000,Invalid Length (not 10 or 13 after cleaning)
A Wind of Change,Bella Forrest (Goodreads Author),'B011YRN9PA,0119,Invalid Length (not 10 or 13 after cleaning)
The Struggles and Growth of a Man Part 2,Jamell Crouthers,,,Invalid Length (not 10 or 13 after cleaning)
Wait for It,Mariana Zapata (Goodreads Author),'B01N2RJFW1,0121,Invalid Length (not 10 or 13 after cleaning)
Area of Influence,Mandy M. Roth (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Owner's Share,Nathan Lowell (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
For This Life Only,Stacey Kade (Goodreads Author),'B01BKR478M,01478,Invalid Length (not 10 or 13 after cleaning)
A Lancaster Amish Storm 1:1,Ruth Price,'B00MU3PU5K,0035,Invalid Length (not 10 or 13 after cleaning)
The Scandalous Sisterhood of Prickwillow Place,Julie Berry (Goodreads Author),'B00IQOFT9Y,009,Invalid Length (not 10 or 13 after cleaning)
Magic of Thieves,C. Greenwood (Goodreads Author),'B00AEJG2KY,002,Invalid Length (not 10 or 13 after cleaning)
The Fury of the Fae,Bernie Morris (Goodreads Author),'B00J9YXNOI,009,Invalid Length (not 10 or 13 after cleaning)
Paid For,Alexa Riley (Goodreads Author),'B01M7X00VD,01700,Invalid Length (not 10 or 13 after cleaning)
A Hero of Realms,Bella Forrest (Goodreads Author),'B016R5CILA,0165,Invalid Length (not 10 or 13 after cleaning)
The Struggles and Growth of a Man,Jamell Crouthers,,,Invalid Length (not 10 or 13 after cleaning)
Isolated Maneuver,Mandy M. Roth (Goodreads Author),'B06XGPX765,06765,Invalid Length (not 10 or 13 after cleaning)
"Determined to Believe: The Sovereignty of God, Freedom, Faith and Human Responsibility",John C. Lennox,'B076WYN3ZD,0763,Invalid Length (not 10 or 13 after cleaning)
The Illustrated A Brief History of Time/The Universe in a Nutshell,Stephen Hawking,,,Invalid Length (not 10 or 13 after cleaning)
South of Surrender,Laura Kaye (Goodreads Author),'B00B6U18FY,00618,Invalid Length (not 10 or 13 after cleaning)
South Coast,Nathan Lowell (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Otherwise Known as Sheila the Great,Judy Blume (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
After The Ending,"Lindsey Fairleigh (Goodreads Author), Lindsey Pogue (Goodreads Author)",,,Invalid Length (not 10 or 13 after cleaning)
Tutti i difetti che amo di te,Anna Premoli (Goodreads Author),'B00KRFEMDE,00,Invalid Length (not 10 or 13 after cleaning)
Witch's Bell 6,Odette C. Bell,'B00HPEMVLU,00,Invalid Length (not 10 or 13 after cleaning)
Halloween Treats,Alexa Riley (Goodreads Author),'B01M7SDXTO,017,Invalid Length (not 10 or 13 after cleaning)
A Vial of Life,Bella Forrest (Goodreads Author),'B017UIZWNE,017,Invalid Length (not 10 or 13 after cleaning)
Separation Zone,Mandy M. Roth (Goodreads Author),'B00QL65B2Y,00652,Invalid Length (not 10 or 13 after cleaning)
