title,author,raw_isbn_in_csv,cleaned_isbn_attempt,skip_reason
The Blind Assassin,Margaret Atwood (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Sense and Sensibility,"Jane Austen, Tony Tanner (Introduction), Ros Ballaster (Introduction/Editor)",,,Invalid Length (not 10 or 13 after cleaning)
Night,"Elie Wiesel, Marion Wiesel (Translator), François Mauriac (Foreword)",,,Invalid Length (not 10 or 13 after cleaning)
Watchers,Dean Koontz (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
The Left Hand of Darkness,Ursula K. Le Guin,,,Invalid Length (not 10 or 13 after cleaning)
The Lies of Locke Lamora,Scott Lynch (Goodreads Author),'B000JMKNJ2,0002,Invalid Length (not 10 or 13 after cleaning)
The Sirens of Titan,Kurt Vonnegut Jr.,,,Invalid Length (not 10 or 13 after cleaning)
Grimm's Fairy Tales,"Jacob Grimm, Wilhelm Grimm, Edward Robert Hughes (illustrator)",'B00912L5U2,0091252,Invalid Length (not 10 or 13 after cleaning)
Crooked Kingdom,Leigh Bardugo (Goodreads Author),'B0117K9N3Q,011793,Invalid Length (not 10 or 13 after cleaning)
The Awakening: Fate in Motion,Suzanne Boisvert (Goodreads Author),'B07GNSZH8M,078,Invalid Length (not 10 or 13 after cleaning)
Club Dead,Charlaine Harris (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
The Witch of Blackbird Pond,Elizabeth George Speare,,,Invalid Length (not 10 or 13 after cleaning)
Digital Fortress,Dan Brown (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Cryptonomicon,Neal Stephenson (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
How to Win Friends and Influence People,Dale Carnegie,,,Invalid Length (not 10 or 13 after cleaning)
Hard-Boiled Wonderland and the End of the World,"Haruki Murakami, Alfred Birnbaum (Translator)",,,Invalid Length (not 10 or 13 after cleaning)
Empire of Storms,Sarah J. Maas (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
To All the Boys I've Loved Before,Jenny Han (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Holy Bible: King James Version,Anonymous,,,Invalid Length (not 10 or 13 after cleaning)
